id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
19736926,InSitu Formosa 178 - Red Oak,132601835,Guestify,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14786,-8.60448,Entire home/apt,121,1,52,2022-08-25,0.83,28,157,4,53705/AL
19744146,1. bed/ 6dorm Watermill Moinho Garcia,22838913,Niko,OLIVEIRA DE AZEMÉIS,"Pinheiro da Bemposta, Travanca e Palmaz",40.78318,-8.50071,Hotel room,18,1,0,,,11,365,0,44278/AL
19900180,Feel Porto Antique Fontainhas,2228036,Rui,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14432,-8.60269,Entire home/apt,138,1,13,2022-06-13,0.21,86,338,4,50805/AL
19746929,Pop in Porto,52784386,Luna,PORTO,Bonfim,41.16012,-8.60066,Entire home/apt,48,2,6,2018-06-25,0.10,1,0,0,
19747230,Casa De Oliveira Aveiro Porto Espinho Ovar,83601959,Victor E Virginie,OLIVEIRA DE AZEMÉIS,"O. Azeméis, Riba-Ul, Ul, Macinhata da Seixa, Madail",40.82928,-8.4683,Entire home/apt,169,2,68,2022-08-28,1.09,5,339,12,
19747749,My Own Private 1960s Apartment,22572449,Luís,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15606,-8.61383,Entire home/apt,140,3,120,2022-06-05,1.91,5,312,2,46515/AL
19901744,Sleep In Centre - Apartments 1E,43531737,Mabilia,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14903,-8.6037,Entire home/apt,207,1,12,2022-08-26,0.19,2,298,7,49262/AL
19903608,Quinta de Mourães  - Twin Room,139446032,Luís,VILA NOVA DE GAIA,"Sandim, Olival, Lever e Crestuma",41.05463,-8.48702,Private room,120,1,0,,,3,365,0,00111/AL
19747885,Aloha Porto Apartment.,139291265,Claudia,PORTO,Lordelo do Ouro e Massarelos,41.15416,-8.63167,Entire home/apt,55,3,44,2019-11-03,0.70,1,59,0,46944/AL
19904982,"""Porto Sea & River"": a spacious, tranquil getaway",2925953,Alexander,VILA NOVA DE GAIA,Canidelo,41.1315,-8.66645,Entire home/apt,90,1,6,2019-10-26,0.10,1,0,0,83901/AL
19759146,Explore Porto From a Bright Townhome in Fontaínhas,15686144,Nuno,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.143867,-8.603156,Entire home/apt,46,1,273,2022-08-21,4.34,1,271,83,53755/AL
19905803,Sleep In Centre - Apartments 2E,43531737,Mabilia,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15016,-8.6045,Entire home/apt,226,1,5,2022-07-26,0.08,2,276,2,49275/AL
19760261,Charming Oporto beach apartment,24316344,Diana,MATOSINHOS,Matosinhos e Leça da Palmeira,41.17415,-8.68888,Entire home/apt,114,5,24,2022-08-16,0.39,2,60,4,54293/AL
19906010,Sea You Espinho,27405001,Ana & António,ESPINHO,Espinho,41.01533,-8.6396,Entire home/apt,90,6,47,2022-08-20,0.77,2,317,9,55183/AL
